dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
cifar10_cat_v_dog,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,10.4,cifar10_cat_v_dog__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.5860000252723694,200,-0.17030269115561864,-0.17197837929250243,True,30.1,cifar10_cat_v_dog__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,10.7,cifar10_cat_v_dog__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.5964999794960022,10,-0.9945582720684905,-2.9520406211982952,True,29.9,cifar10_cat_v_dog__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,11.5,cifar10_cat_v_dog__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.6044999957084656,20,-0.5552652040487773,-0.6259616094722593,True,31.0,cifar10_cat_v_dog__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,12.5,cifar10_cat_v_dog__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.5914999842643738,350,0.9993276944018916,3.9988042664858616,True,30.0,cifar10_cat_v_dog__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9865000247955322,250,-0.703530522662241,-0.8742569423156656,True,28.0,fmnist_sandal_v_boot__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9869999885559082,350,-0.9301034642912177,-1.6591564007835027,True,28.5,fmnist_sandal_v_boot__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
