dataset,mode,width,depth,test_acc,best_k,rho,z,L,connected_all_layers,elapsed_s,run_id,error,session
paper_syn_A_sin_bands_1k_each,synthetic,narrow,5,0.9994999766349792,90,-0.6706517616678151,-0.8119267197856153,4,True,13.8,paper_syn_A_sin_bands_1k_each__w25__d5__s0,,20251007_220339
paper_syn_A_sin_bands_1k_each,synthetic,narrow,11,0.9994999766349792,90,-0.49519205681108236,-0.22164450789092963,10,True,24.4,paper_syn_A_sin_bands_1k_each__w25__d11__s0,,20251007_220339
paper_syn_A_sin_bands_1k_each,synthetic,wide,5,0.9994999766349792,90,-0.909733085255413,-1.5259738823456017,4,True,13.4,paper_syn_A_sin_bands_1k_each__w50__d5__s0,,20251007_220339
paper_syn_A_sin_bands_1k_each,synthetic,wide,11,0.9994999766349792,90,-0.346242302476345,-0.14744616161505378,10,True,25.6,paper_syn_A_sin_bands_1k_each__w50__d11__s0,,20251007_220339
paper_syn_A_sin_bands_1k_each,synthetic,bottleneck,5,0.9994999766349792,90,-0.9231142527943611,-1.609690320124541,4,True,13.2,paper_syn_A_sin_bands_1k_each__bottleneck__d5__s0,,20251007_220339
paper_syn_A_sin_bands_1k_each,synthetic,bottleneck,11,0.9994999766349792,90,-0.2892142612992706,-0.12153902285488268,10,True,24.4,paper_syn_A_sin_bands_1k_each__bottleneck__d11__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,narrow,5,0.6389999985694885,10,-0.6348998422586593,-0.7495825510931959,4,True,38.6,paper_syn_B_two_spirals_1k_each__w25__d5__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,narrow,11,0.6359999775886536,90,-0.8501592893056414,-0.5130566933281168,10,True,87.9,paper_syn_B_two_spirals_1k_each__w25__d11__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,wide,5,0.6470000147819519,18,-0.9958201588971686,-3.084268559960868,4,True,40.6,paper_syn_B_two_spirals_1k_each__w50__d5__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,wide,11,0.6380000114440918,90,-0.6057983410353792,-0.28669516205091833,10,True,90.7,paper_syn_B_two_spirals_1k_each__w50__d11__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,bottleneck,5,0.6449999809265137,20,-0.8734356711710818,-1.347389287131909,4,True,41.8,paper_syn_B_two_spirals_1k_each__bottleneck__d5__s0,,20251007_220339
paper_syn_B_two_spirals_1k_each,synthetic,bottleneck,11,0.6334999799728394,50,-0.7505700023478175,-0.39773965781239423,10,True,89.3,paper_syn_B_two_spirals_1k_each__bottleneck__d11__s0,,20251007_220339
paper_syn_C_sine_surface_vs_plane_1k_each,synthetic,narrow,5,0.9265000224113464,10,-0.9787834246663807,-2.267727385656763,4,True,40.9,paper_syn_C_sine_surface_vs_plane_1k_each__w25__d5__s0,,20251007_220339
