layer,mod,ssr
0,0,-476615484.0
1,0,-366643546.0
2,0,-372725710.0
3,0,-358953404.0
4,0,-356626166.0
5,0,-354196138.0
6,0,-354937056.0
7,0,-352676024.0
8,0,-355446174.0
9,0,-357737766.0
10,0,-356630994.0
0,1,-476615484.0
1,1,-391845944.0
2,1,-393833482.0
3,1,-360234690.0
4,1,-359364760.0
5,1,-357070278.0
6,1,-357252590.0
7,1,-358115356.0
8,1,-361123662.0
9,1,-359077250.0
10,1,-361721830.0
0,2,-476615484.0
1,2,-427742622.0
2,2,-406009860.0
3,2,-375340398.0
4,2,-372566158.0
5,2,-370393942.0
6,2,-366617114.0
7,2,-367803978.0
8,2,-369352328.0
9,2,-371589294.0
10,2,-369397970.0
0,3,-476615484.0
1,3,-420543222.0
2,3,-406322184.0
3,3,-369065450.0
4,3,-363672948.0
5,3,-364795080.0
6,3,-361681676.0
7,3,-359930316.0
8,3,-360385022.0
9,3,-360720916.0
10,3,-355052058.0
0,4,-476615484.0
1,4,-411446232.0
2,4,-407555676.0
3,4,-375976192.0
4,4,-374428150.0
5,4,-366779624.0
6,4,-366681048.0
7,4,-368264094.0
8,4,-367080956.0
9,4,-369388774.0
10,4,-366040126.0
0,5,-476615484.0
1,5,-412769838.0
2,5,-399243846.0
3,5,-380627952.0
4,5,-377301488.0
5,5,-365242596.0
6,5,-363310692.0
7,5,-362415826.0
8,5,-363928278.0
9,5,-365118544.0
10,5,-370226390.0
0,6,-476615484.0
1,6,-410156574.0
2,6,-400326168.0
3,6,-370605238.0
4,6,-371741860.0
5,6,-372650220.0
6,6,-372042200.0
7,6,-366550338.0
8,6,-368039922.0
9,6,-368413610.0
10,6,-369702272.0
0,7,-476615484.0
1,7,-407222240.0
2,7,-395897294.0
3,7,-370667092.0
4,7,-369508940.0
5,7,-366669296.0
6,7,-368426314.0
7,7,-369566954.0
8,7,-369341756.0
9,7,-370408996.0
10,7,-370482864.0
0,8,-476615484.0
1,8,-410924832.0
2,8,-384218558.0
3,8,-362660236.0
4,8,-364365584.0
5,8,-364596638.0
6,8,-363036276.0
7,8,-360926634.0
8,8,-364766716.0
9,8,-362900436.0
10,8,-365414778.0
0,9,-476615484.0
1,9,-405374076.0
2,9,-394607518.0
3,9,-371886016.0
4,9,-367501402.0
5,9,-365256732.0
6,9,-366571458.0
7,9,-372619388.0
8,9,-366763918.0
9,9,-363767834.0
10,9,-360039688.0
0,10,-476615484.0
1,10,-411086568.0
2,10,-392522954.0
3,10,-372741850.0
4,10,-368563666.0
5,10,-362587008.0
6,10,-361645228.0
7,10,-365879496.0
8,10,-365346834.0
9,10,-366884154.0
10,10,-364914892.0
0,11,-476615484.0
1,11,-432130794.0
2,11,-399271672.0
3,11,-371563770.0
4,11,-366368120.0
5,11,-362632484.0
6,11,-362976398.0
7,11,-360615454.0
8,11,-364160908.0
9,11,-363875522.0
10,11,-354911248.0
0,12,-476615484.0
1,12,-395766396.0
2,12,-395001902.0
3,12,-382692194.0
4,12,-371154176.0
5,12,-372352562.0
6,12,-377517296.0
7,12,-378406000.0
8,12,-380275888.0
9,12,-384032966.0
10,12,-387330192.0
0,13,-476615484.0
1,13,-419624066.0
2,13,-398346762.0
3,13,-377157108.0
4,13,-370318030.0
5,13,-371252192.0
6,13,-369835598.0
7,13,-369337218.0
8,13,-368680976.0
9,13,-370615528.0
10,13,-368726146.0
0,14,-476615484.0
1,14,-404191698.0
2,14,-379473882.0
3,14,-362074950.0
4,14,-356767236.0
5,14,-360753924.0
6,14,-363640024.0
7,14,-364227616.0
8,14,-364027596.0
9,14,-358154426.0
10,14,-361528660.0
