layer,mod,ssr
1,0,1600429.0
2,0,-519263.0
3,0,769118.0
4,0,1261027.0
5,0,333673.0
6,0,9091.0
7,0,32413.0
8,0,-25182.0
9,0,-35449.0
10,0,8257.0
11,0,71854.0
1,1,1184650.0
2,1,156685.0
3,1,1527650.0
4,1,338145.0
5,1,149249.0
6,1,57408.0
7,1,-8126.0
8,1,-856367.0
9,1,844183.0
10,1,-337682.0
11,1,351161.0
1,2,614632.0
2,2,225938.0
3,2,1181063.0
4,2,416524.0
5,2,623120.0
6,2,180973.0
7,2,48761.0
8,2,-174565.0
9,2,-1204479.0
10,2,1255798.0
11,2,18578.0
1,3,813569.0
2,3,94049.0
3,3,1416157.0
4,3,727961.0
5,3,87407.0
6,3,143072.0
7,3,50478.0
8,3,-8115.0
9,3,-14155.0
10,3,-118963.0
11,3,187473.0
1,4,901991.0
2,4,-17924.0
3,4,1242060.0
4,4,660167.0
5,4,455931.0
6,4,44621.0
7,4,-1880.0
8,4,-1415.0
9,4,-790009.0
10,4,769454.0
11,4,88093.0
1,5,671481.0
2,5,346400.0
3,5,669925.0
4,5,772102.0
5,5,492975.0
6,5,179611.0
7,5,-44084.0
8,5,-1369.0
9,5,-15313.0
10,5,-183611.0
11,5,-72902.0
1,6,1005592.0
2,6,134143.0
3,6,1094662.0
4,6,632912.0
5,6,218143.0
6,6,95018.0
7,6,143450.0
8,6,-11063.0
9,6,-17711.0
10,6,-9143.0
11,6,-2847.0
1,7,799333.0
2,7,96789.0
3,7,1075079.0
4,7,504372.0
5,7,744801.0
6,7,20450.0
7,7,-44971.0
8,7,-52114.0
9,7,-48474.0
10,7,-33065.0
11,7,231082.0
1,8,1008988.0
2,8,22706.0
3,8,1170957.0
4,8,885412.0
5,8,199291.0
6,8,61835.0
7,8,34350.0
8,8,-118920.0
9,8,80403.0
10,8,-44829.0
11,8,7382.0
1,9,918460.0
2,9,56459.0
3,9,1118087.0
4,9,727056.0
5,9,305282.0
6,9,83699.0
7,9,-188688.0
8,9,152097.0
9,9,40319.0
10,9,63372.0
11,9,17344.0
1,10,867383.0
2,10,220257.0
3,10,1173999.0
4,10,360005.0
5,10,537667.0
6,10,161567.0
7,10,-63559.0
8,10,69772.0
9,10,-42310.0
10,10,25049.0
11,10,-1396511.0
1,11,694675.0
2,11,510492.0
3,11,1278901.0
4,11,463827.0
5,11,318990.0
6,11,45943.0
7,11,47628.0
8,11,-38011.0
9,11,-233025.0
10,11,400227.0
11,11,29837.0
1,12,1133922.0
2,12,-48765.0
3,12,895289.0
4,12,663237.0
5,12,249614.0
6,12,-124745.0
7,12,-13478.0
8,12,81055.0
9,12,-222912.0
10,12,23882.0
11,12,-143132.0
1,13,772402.0
2,13,364891.0
3,13,933395.0
4,13,615324.0
5,13,283429.0
6,13,120477.0
7,13,128669.0
8,13,-21202.0
9,13,-400363.0
10,13,320423.0
11,13,-40931.0
1,14,981130.0
2,14,231290.0
3,14,1114679.0
4,14,703385.0
5,14,176478.0
6,14,61592.0
7,14,59943.0
8,14,17835.0
9,14,70564.0
10,14,-44152.0
11,14,95446.0
