network_id,architecture,depth,width,layer_structure,r_all,p_all,r_skip,p_skip,accuracy,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
1,bottleneck,10,128,128→128→128→64→32→32→64→128→128→128,-0.8244337498842454,,-0.9995439114980247,,0.5005000233650208,-0.3278386890888214,0.2102920413017273,0.4072280526161194,0.010884045623242855,,,,,,,,
2,bottleneck,11,128,128→128→128→128→64→32→64→128→128→128→128,-0.051934674483528974,,-0.006409831021378263,,0.765500009059906,-0.017644645646214485,-0.0502396896481514,-0.036902666091918945,-0.3741544187068939,-0.5106541514396667,-0.45909130573272705,-0.532085120677948,-0.38741976022720337,-0.04657141864299774,,,
3,bottleneck,12,128,128→128→128→128→64→32→32→64→128→128→128→128,-0.9997084268432997,,-0.9728260806795423,,0.9415000081062317,0.04249947518110275,0.15699243545532227,0.14902786910533905,0.15260140597820282,0.05303238704800606,-0.018344173207879066,,,,,,
4,bottleneck,4,128,128→32→32→128,-0.999978121604592,,-1.0,,0.5885000228881836,0.28134995698928833,0.09293972700834274,-0.14778278768062592,,,,,,,,,
5,bottleneck,5,128,128→64→32→64→128,-0.7766414583850187,,-0.8407647481174109,,0.6894999742507935,0.1698182076215744,0.16166861355304718,-0.16830644011497498,-0.12737354636192322,,,,,,,,
6,bottleneck,6,128,128→64→32→32→64→128,-0.3267168524891357,,-0.535117058632327,,0.4675000011920929,-0.20039647817611694,-0.513724684715271,-0.41715362668037415,-0.1892808973789215,-0.0873720645904541,,,,,,,
7,bottleneck,7,128,128→128→64→32→64→128→128,-0.4026535188319896,,-0.3526178378014552,,0.7195000052452087,-0.1916496455669403,-0.29545846581459045,-0.5268843173980713,-0.30004191398620605,-0.16067343950271606,-0.13206635415554047,,,,,,
8,bottleneck,8,128,128→128→64→32→32→64→128→128,-0.594035268339084,,-0.6339742731234427,,0.9169999957084656,0.1370401531457901,-0.18944677710533142,-0.3248225152492523,-0.3267795741558075,0.1307944506406784,0.03836445137858391,-0.023712636902928352,,,,,
9,bottleneck,9,128,128→128→128→64→32→64→128→128→128,0.03602905330108333,,0.5045738982749641,,0.8899999856948853,0.032503169029951096,-0.2481464296579361,-0.3066176474094391,-0.307722270488739,-0.26421254873275757,-0.3098233938217163,-0.1874791383743286,-0.604555070400238,,,,
10,flat,10,128,128→128→128→128→128→128→128→128→128→128,-0.49960039482663754,,-0.34377583310567283,,0.7450000047683716,0.32586491107940674,-0.2337232083082199,-0.24371494352817535,0.43689629435539246,-0.2819115221500397,-0.19468705356121063,-0.004849567543715239,-0.011757672764360905,-0.019912082701921463,,,
11,flat,10,16,16→16→16→16→16→16→16→16→16→16,-0.7283788899714191,,-0.751928198617826,,0.7045000195503235,0.10622989386320114,0.30732056498527527,0.09814140945672989,0.023129256442189217,0.10044307261705399,-0.1050693690776825,-0.08797603845596313,-0.024213749915361404,-0.035492926836013794,,,
12,flat,10,32,32→32→32→32→32→32→32→32→32→32,-0.4707756114171119,,-0.42762976552688364,,0.7465000152587891,0.11794028431177139,-0.07682231068611145,-0.15684446692466736,-0.18884243071079254,-0.25709062814712524,-0.08684378117322922,0.14766308665275574,0.18509623408317566,0.22327224910259247,,,
13,flat,10,64,64→64→64→64→64→64→64→64→64→64,-0.3304134663853586,,-0.44354440549804963,,0.9495000243186951,-0.2627381384372711,-0.27636635303497314,0.05318252742290497,0.4596051871776581,0.02414947748184204,,,,,,,
14,flat,11,128,128→128→128→128→128→128→128→128→128→128→128,-0.6128855515694408,,-0.5460146382365612,,0.612500011920929,0.01812860742211342,-0.37576138973236084,0.07812665402889252,-0.07777256518602371,-0.24509838223457336,-0.34989938139915466,,0.07284292578697205,,,,
15,flat,11,16,16→16→16→16→16→16→16→16→16→16→16,-0.7240988773928132,,-0.8917799737705465,,0.5,0.17354516685009003,0.15975381433963776,0.10816303640604019,0.2478092908859253,0.3289594054222107,0.13926297426223755,0.1057051345705986,0.045656468719244,0.007307385094463825,,,
16,flat,11,32,32→32→32→32→32→32→32→32→32→32→32,-0.5531388543064581,,-0.3128838685383434,,0.9194999933242798,0.04492563381791115,-0.19202524423599243,-0.14450205862522125,-0.25119855999946594,-0.5544236302375793,-0.08374536037445068,-0.1454629749059677,-0.0925072580575943,,-0.6666770577430725,,
17,flat,11,64,64→64→64→64→64→64→64→64→64→64→64,-0.9983210414632914,,-0.8873212418972893,,0.5,0.20702587068080902,0.06211380288004875,0.1351102888584137,0.19538608193397522,0.04151115193963051,,,,,,,
18,flat,12,128,128→128→128→128→128→128→128→128→128→128→128→128,0.15521307693002048,,0.03166504260267459,,0.8840000033378601,0.08048170059919357,0.05564190447330475,0.12322285026311874,-0.0017050259048119187,-0.10725164413452148,-0.011576834134757519,0.12078062444925308,0.04295170307159424,0.018192706629633904,,,
19,flat,12,16,16→16→16→16→16→16→16→16→16→16→16→16,-0.4792499345821862,,-0.35707232582778453,,0.8895000219345093,0.21449756622314453,-0.3356004059314728,-0.00190925772767514,0.1192982867360115,0.27827703952789307,0.35247689485549927,-0.2044457644224167,-0.44526076316833496,-0.07705554366111755,-0.06067315861582756,,
20,flat,12,32,32→32→32→32→32→32→32→32→32→32→32→32,-0.5340516525447723,,0.5861280757770901,,0.9154999852180481,0.3327481746673584,0.21579520404338837,-0.33099254965782166,-0.22499486804008484,-0.051888152956962585,-0.18607458472251892,-0.34692347049713135,-0.025110090151429176,,,,
21,flat,12,64,64→64→64→64→64→64→64→64→64→64→64→64,-0.8918686861038875,,-0.9680031034718554,,0.5724999904632568,0.05907943844795227,-0.4128657877445221,-0.09864286333322525,0.18571221828460693,0.04571640118956566,0.05140617489814758,0.02160917967557907,,0.0276473481208086,,,
22,flat,4,128,128→128→128→128,-0.9536489257171316,,-1.0,,0.871999979019165,0.16303077340126038,0.061516523361206055,-0.5223466753959656,,,,,,,,,
23,flat,4,16,16→16→16→16,-0.922163959831701,,-1.0,,0.3075000047683716,0.29279279708862305,0.02503310516476631,-0.36865565180778503,,,,,,,,,
24,flat,4,32,32→32→32→32,-0.9742183436828333,,-1.0,,0.7394999861717224,0.11319095641374588,-0.2754025161266327,-0.4617931544780731,,,,,,,,,
25,flat,4,64,64→64→64→64,-0.9589587635508559,,-1.0,,0.3540000021457672,0.18272614479064941,-0.04382801428437233,-0.39297154545783997,,,,,,,,,
26,flat,5,128,128→128→128→128→128,-0.7318677614178636,,-0.6888907497238588,,0.37950000166893005,0.03798492252826691,-0.15636113286018372,-0.05255202576518059,0.09866827726364136,,,,,,,,
27,flat,5,16,16→16→16→16→16,-0.8181996331514297,,-0.8121163025030926,,0.7870000004768372,0.28804829716682434,0.2692173719406128,0.13428035378456116,0.3292497396469116,,,,,,,,
