dataset,mode,width,depth,test_acc,best_k,rho,z,L,connected_all_layers,elapsed_s,run_id,error,session,rho_abs,ok
cifar10_car_v_truck,real,bottleneck,11,0.7544999718666077,350,0.1430465653303851,0.0588018017912584,10,True,91.8,cifar10_car_v_truck__bottleneck__d11__s0,,20251007_220339,0.1430465653303851,True
cifar10_car_v_truck,real,narrow,11,0.7335000038146973,10,0.8102255159060808,0.4603755284507917,10,True,96.5,cifar10_car_v_truck__w25__d11__s0,,20251007_220339,0.8102255159060808,True
cifar10_car_v_truck,real,wide,11,0.7599999904632568,350,0.0786097309490977,0.0321586391126959,10,True,91.7,cifar10_car_v_truck__w50__d11__s0,,20251007_220339,0.0786097309490977,True
cifar10_cat_v_dog,real,bottleneck,11,0.6134999990463257,350,0.6716655006137819,0.3322207849728597,10,True,102.0,cifar10_cat_v_dog__bottleneck__d11__s0,,20251007_220339,0.6716655006137819,True
cifar10_cat_v_dog,real,narrow,11,0.625,350,0.7026430724423439,0.356197424948368,10,True,92.5,cifar10_cat_v_dog__w25__d11__s0,,20251007_220339,0.7026430724423439,True
cifar10_cat_v_dog,real,wide,11,0.6309999823570251,350,0.3529007716275161,0.1505429117451165,10,True,95.7,cifar10_cat_v_dog__w50__d11__s0,,20251007_220339,0.3529007716275161,True
fmnist_sandal_v_boot,real,wide,5,0.9815000295639038,250,0.6836422921783314,0.835920598258709,4,True,22.3,fmnist_sandal_v_boot__w50__d5__s0,,20251007_220339,0.6836422921783314,True
mnist_1v7,real,wide,5,0.9963014125823976,350,0.1977563557475675,0.2003965122995439,4,True,22.7,mnist_1v7__w50__d5__s0,,20251007_220339,0.1977563557475675,True
mnist_3v5,real,wide,5,0.9858044385910034,250,0.4974423199853975,0.5459016961321481,4,True,22.5,mnist_3v5__w50__d5__s0,,20251007_220339,0.4974423199853975,True
svhn_3v8,real,narrow,11,0.8914574980735779,350,0.008665129102522,0.0035376126844416,10,True,92.9,svhn_3v8__w25__d11__s0,,20251007_220339,0.008665129102522,True
