dataset,mode,n,acc_mean,acc_std,rho_mean,rho_std,z_mean,z_std,ok_ratio,k_min,k_med,k_max
cifar10_car_v_truck,real,6,0.7428333361943563,0.012867256957117474,-0.2665186179307516,0.7194977672266942,-1.3670034027844205,2.582325691500998,1.0,10,350.0,350
cifar10_cat_v_dog,real,6,0.6185833315054575,0.010589683974478981,-0.2022982410075083,0.8611375109077014,-1.131736565871465,1.602401802867403,1.0,10,350.0,350
fmnist_sandal_v_boot,real,6,0.9835833410422007,0.0022453590320120785,-0.36736184130753813,0.5803870231656723,-0.20783084443503475,0.5770557285037801,1.0,200,300.0,350
fmnist_shirt_v_coat,real,6,0.9013333320617676,0.006202149439566119,-0.5493026464192937,0.3730047321779039,-1.0455430937365218,1.323090443619054,1.0,50,200.0,250
fmnist_tshirt_v_shirt,real,6,0.8462499976158142,0.004698408510782944,-0.3801418022398111,0.2990929878425401,-0.4374451725146882,0.5596776249423524,1.0,250,350.0,350
mnist_0v8,real,6,0.9934322834014893,0.001093630577465266,-0.8197441024526593,0.11295989070896999,-0.9686830791654878,0.6836739006395686,1.0,200,225.0,350
mnist_1v7,real,6,0.994452158610026,0.0011324418928462911,-0.4914971975689446,0.46441138447661706,-0.597779040582413,0.8271050184834242,1.0,200,350.0,350
mnist_2v7,real,6,0.9898058374722799,0.0018420999351890304,-0.8329634700386911,0.19810548273705297,-1.3690256100350215,1.142254109805334,1.0,120,250.0,350
mnist_3v5,real,6,0.9865054388840994,0.0017171368279782725,-0.20970620273478338,0.4185672480381085,-0.07229567423308057,0.3224726946260594,1.0,150,225.0,350
mnist_4v9,real,6,0.9861878454685211,0.001925696871740191,-0.4316232786435283,0.3143721758712604,-0.6935262109435362,1.2018110679330694,1.0,150,200.0,350
mnist_6v8,real,6,0.9927536249160767,0.0015699475193255738,-0.8876967544954776,0.14989443106169134,-2.4270777474293057,2.5178878429466414,1.0,150,225.0,350
svhn_1v7,real,6,0.9388170838356018,0.002485914026867289,-0.3943238091966475,0.3383962393219358,-0.4605185977007759,0.5810521243058117,1.0,10,350.0,350
svhn_3v8,real,6,0.899933934211731,0.0072618471359874965,-0.3511589043736951,0.3732139343304276,-0.5081629177666271,0.7238210058696097,1.0,50,300.0,350
paper_syn_A_sin_bands_1k_each,synthetic,6,0.9994999766349792,0.0,-0.6056912867173811,0.2746270856300305,-0.7397034357694373,0.6901587599676567,1.0,90,90.0,90
paper_syn_B_two_spirals_1k_each,synthetic,6,0.6397499938805898,0.005232119925692495,-0.7851138841692912,0.14989354833752933,-1.063121985229567,1.0594614132645392,1.0,10,35.0,90
paper_syn_C_sine_surface_vs_plane_1k_each,synthetic,6,0.9268333315849304,0.0027868666325150085,-0.7242178411650944,0.37272037438682526,-2.3737541987666444,2.7885454883463874,1.0,6,9.5,50
synthetic_A_moons_1k_each,synthetic,6,0.9136666655540466,0.00301107823766132,-0.6975376701249156,0.32845387038215684,-1.609769425065484,1.8142086621732318,1.0,4,7.0,20
synthetic_B_circles_1k_each,synthetic,6,0.9888333380222321,0.0014719708886543363,-0.8746878353573407,0.12570879288890405,-1.2675340596825464,0.9113379662938083,1.0,10,50.0,90
synthetic_C_blobs_1k_each,synthetic,6,0.8308333257834116,0.0014719681891475092,-0.8702280836936619,0.1405308219450524,-1.4977660414883587,1.274453174645865,1.0,12,35.0,90
