run_name,architecture,dataset,n_layers,accuracy,rho,k
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-727580331.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9917184114456177,-714195140.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-741964125.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-743193918.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-729606275.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9829192757606506,-732260716.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-723300630.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-717110400.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-728173337.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9912008047103882,-731127540.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-723302484.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-722386062.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9912008047103882,-743529763.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-730175884.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-715813736.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-746834530.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9912008047103882,-721758825.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-729978242.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-740371622.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-719460906.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-721315019.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9855072498321533,-726642780.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-742219929.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-728802011.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-722980155.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-731340456.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-714175593.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-731523670.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-739940745.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9865424633026123,-733050889.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-731427935.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9834368824958801,-720271321.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-749765410.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9855072498321533,-739870840.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-737132064.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-733826673.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-735918806.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9860248565673828,-720646005.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-720713753.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-749621081.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-721614566.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9870600700378418,-722827761.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-729396857.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-728099880.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-710587030.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-729863668.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-740365171.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-745020254.3333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9849896430969238,-711313052.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-724628032.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-735863327.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-729007457.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-730234906.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9860248565673828,-721038334.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-726729436.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9865424633026123,-745973761.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-714439902.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9912008047103882,-740670103.8333334,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-724825524.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9875776171684265,-740428307.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.990165650844574,-728004884.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.988095223903656,-730297020.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-739510972.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9860248565673828,-716177543.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9865424633026123,-730598421.1666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9896480441093445,-734722679.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9922360181808472,-742846960.6666666,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.989130437374115,-734727882.0,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-715538930.5,500
narrow_11_mnist_6_vs_8,narrow,mnist_6_vs_8,11,0.9886128306388855,-727354638.8333334,500
