experiment,architecture,depth,width,is_bottleneck,dataset,dataset_type,k_value,model_id,accuracy,mean_forman_ricci,final_forman_ricci,mean_scalar_curvature,final_scalar_curvature,delta_forman,delta_scalar
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,0,0.9886128306388855,-470384953.27272725,-436473158.0,240849.18181818182,11065.0,91715862.0,-454161.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,1,0.9917184114456177,-458972156.0,-434317710.0,239818.45454545456,-3837.0,93871310.0,-673875.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,2,0.9875776171684265,-486194213.8181818,-438277120.0,239741.54545454544,7761.0,89911900.0,-435172.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,3,0.9870600700378418,-486090757.8181818,-448645652.0,229839.63636363635,80966.0,79543368.0,-495353.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,4,0.9875776171684265,-475175533.27272725,-434488650.0,241064.72727272726,30943.0,93700370.0,-534484.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,5,0.9829192757606506,-474347279.45454544,-447022942.0,234020.0909090909,35198.0,81166078.0,-584512.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,6,0.989130437374115,-469202920.0,-435658864.0,239184.18181818182,11635.0,92530156.0,-528872.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,7,0.9870600700378418,-464558072.90909094,-431811514.0,243328.0909090909,22605.0,96377506.0,-613459.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,8,0.9896480441093445,-473951827.27272725,-445584138.0,235413.72727272726,42268.0,82604882.0,-464199.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,9,0.9912008047103882,-478216188.72727275,-446561784.0,236591.0,129873.0,81627236.0,-292671.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,10,0.989130437374115,-470121616.72727275,-432627650.0,239216.18181818182,-42085.0,95561370.0,-581555.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,11,0.990165650844574,-464593297.6363636,-441420378.0,238077.27272727274,44249.0,86768642.0,-498433.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,12,0.9912008047103882,-482023161.09090906,-455442358.0,232645.0909090909,27597.0,72746662.0,-430577.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,13,0.9870600700378418,-471909233.09090906,-441745158.0,237733.0,13023.0,86443862.0,-461652.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,14,0.9886128306388855,-464013076.3636364,-427590328.0,244276.18181818182,22158.0,100598692.0,-514574.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,15,0.9896480441093445,-493573255.09090906,-457083130.0,198889.27272727274,27773.0,71105890.0,-519115.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,16,0.9912008047103882,-469108056.0,-443375070.0,231368.0,36758.0,84813950.0,-427792.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,17,0.9875776171684265,-474482502.72727275,-431700216.0,237749.0909090909,-2500.0,96488804.0,-539105.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,18,0.989130437374115,-479601782.3636364,-452311522.0,228690.36363636365,19760.0,75877498.0,-408710.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,19,0.990165650844574,-465424711.45454544,-432825724.0,243635.63636363635,12497.0,95363296.0,-457917.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,20,0.989130437374115,-465785632.90909094,-443399630.0,238420.45454545456,47078.0,84789390.0,-441301.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,21,0.9855072498321533,-474649670.72727275,-443619582.0,230895.54545454544,97562.0,84569438.0,-495712.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,22,0.990165650844574,-484280237.45454544,-466161634.0,224700.9090909091,2566.0,62027386.0,-475561.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,23,0.990165650844574,-470894323.8181818,-442138730.0,204089.27272727274,-292475.0,86050290.0,-808956.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,24,0.988095223903656,-467557370.0,-437142752.0,241002.27272727274,40155.0,91046268.0,-436450.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,25,0.9870600700378418,-476091248.54545456,-440298900.0,238836.81818181818,81992.0,87890120.0,-535334.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,26,0.9875776171684265,-460062435.6363636,-434151476.0,243189.54545454544,-1743.0,94037544.0,-640322.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,27,0.9875776171684265,-474888214.1818182,-445499178.0,236027.54545454544,66794.0,82689842.0,-515900.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,28,0.988095223903656,-484314899.09090906,-439781588.0,230015.36363636365,13190.0,88407432.0,-406313.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,29,0.9865424633026123,-473857991.27272725,-445661022.0,238615.18181818182,15100.0,82527998.0,-575796.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,30,0.9870600700378418,-475340038.3636364,-441306912.0,238253.63636363635,39211.0,86882108.0,-420576.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,31,0.9834368824958801,-468411625.27272725,-431422496.0,238373.0909090909,-31851.0,96766524.0,-598397.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,32,0.9886128306388855,-480619913.8181818,-443524288.0,217597.45454545456,-22127.0,84664732.0,-522429.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,33,0.9855072498321533,-479862752.0,-448006510.0,238246.18181818182,59308.0,80182510.0,-465464.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,34,0.9896480441093445,-479666470.72727275,-442433968.0,238221.54545454544,8959.0,85755052.0,-331324.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,35,0.990165650844574,-478373001.09090906,-438421482.0,237068.27272727274,-684.0,89767538.0,-515916.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,36,0.9875776171684265,-477430046.72727275,-445223818.0,234219.63636363635,7602.0,82965202.0,-471926.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,37,0.9860248565673828,-466828935.27272725,-437156968.0,241059.36363636365,17233.0,91032052.0,-502376.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,38,0.988095223903656,-465006283.8181818,-435515680.0,238838.18181818182,-2521.0,92673340.0,-522585.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,39,0.9896480441093445,-490154615.27272725,-445237494.0,232221.72727272726,58247.0,82951526.0,-330765.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,40,0.989130437374115,-468419049.6363636,-441393948.0,231526.54545454544,46127.0,86795072.0,-413693.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,41,0.9870600700378418,-471187708.90909094,-436498992.0,238434.45454545456,49385.0,91690028.0,-465937.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,42,0.989130437374115,-472190450.90909094,-444507664.0,232646.27272727274,-1627.0,83681356.0,-427148.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,43,0.989130437374115,-471793362.3636364,-445671868.0,238602.45454545456,35240.0,82517152.0,-551941.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,44,0.989130437374115,-460668385.45454544,-430669004.0,244610.54545454544,79285.0,97520016.0,-561638.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,45,0.988095223903656,-472627983.8181818,-442030156.0,239517.36363636365,6722.0,86158864.0,-524258.0
narrow_11_mnist_6_vs_8,narrow,11,25,False,mnist_6_vs_8,mnist,400,46,0.988095223903656,-484411952.90909094,-455900894.0,213329.18181818182,-11636.0,72288126.0,-533869.0
