run_name,architecture,depth,dataset,dataset_type,model_id,k,accuracy,rho,n_layers
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,0,400,0.9886128306388855,-470384953.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,1,400,0.9917184114456177,-458972156.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,2,400,0.9875776171684265,-486194213.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,3,400,0.9870600700378418,-486090757.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,4,400,0.9875776171684265,-475175533.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,5,400,0.9829192757606506,-474347279.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,6,400,0.989130437374115,-469202920.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,7,400,0.9870600700378418,-464558072.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,8,400,0.9896480441093445,-473951827.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,9,400,0.9912008047103882,-478216188.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,10,400,0.989130437374115,-470121616.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,11,400,0.990165650844574,-464593297.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,12,400,0.9912008047103882,-482023161.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,13,400,0.9870600700378418,-471909233.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,14,400,0.9886128306388855,-464013076.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,15,400,0.9896480441093445,-493573255.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,16,400,0.9912008047103882,-469108056.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,17,400,0.9875776171684265,-474482502.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,18,400,0.989130437374115,-479601782.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,19,400,0.990165650844574,-465424711.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,20,400,0.989130437374115,-465785632.90909094,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,21,400,0.9855072498321533,-474649670.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,22,400,0.990165650844574,-484280237.45454544,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,23,400,0.990165650844574,-470894323.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,24,400,0.988095223903656,-467557370.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,25,400,0.9870600700378418,-476091248.54545456,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,26,400,0.9875776171684265,-460062435.6363636,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,27,400,0.9875776171684265,-474888214.1818182,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,28,400,0.988095223903656,-484314899.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,29,400,0.9865424633026123,-473857991.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,30,400,0.9870600700378418,-475340038.3636364,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,31,400,0.9834368824958801,-468411625.27272725,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,32,400,0.9886128306388855,-480619913.8181818,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,33,400,0.9855072498321533,-479862752.0,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,34,400,0.9896480441093445,-479666470.72727275,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,35,400,0.990165650844574,-478373001.09090906,11
narrow_11_mnist_6_vs_8,narrow,11,mnist_6_vs_8,mnist,36,400,0.9875776171684265,-477430046.72727275,11
