architecture,dataset,k,model_idx,accuracy,rho,dropout_rate,run_id
narrow_11,mnist_6_vs_8,400,0,0.9886128306388855,-467527432.5,,narrow_11_mnist_6_vs_8_k400_m0
narrow_11,mnist_6_vs_8,400,1,0.9917184114456177,-457129855.6666667,,narrow_11_mnist_6_vs_8_k400_m1
narrow_11,mnist_6_vs_8,400,2,0.9875776171684265,-482372289.8333333,,narrow_11_mnist_6_vs_8_k400_m2
narrow_11,mnist_6_vs_8,400,3,0.9870600700378418,-482753801.6666667,,narrow_11_mnist_6_vs_8_k400_m3
narrow_11,mnist_6_vs_8,400,4,0.9875776171684265,-471815913.1666667,,narrow_11_mnist_6_vs_8_k400_m4
narrow_11,mnist_6_vs_8,400,5,0.9829192757606506,-472047986.3333333,,narrow_11_mnist_6_vs_8_k400_m5
narrow_11,mnist_6_vs_8,400,6,0.989130437374115,-466531041.6666667,,narrow_11_mnist_6_vs_8_k400_m6
narrow_11,mnist_6_vs_8,400,7,0.9870600700378418,-462187184.0,,narrow_11_mnist_6_vs_8_k400_m7
narrow_11,mnist_6_vs_8,400,8,0.9896480441093445,-471446020.0,,narrow_11_mnist_6_vs_8_k400_m8
narrow_11,mnist_6_vs_8,400,9,0.9912008047103882,-475247734.8333333,,narrow_11_mnist_6_vs_8_k400_m9
narrow_11,mnist_6_vs_8,400,10,0.989130437374115,-467408223.3333333,,narrow_11_mnist_6_vs_8_k400_m10
narrow_11,mnist_6_vs_8,400,11,0.990165650844574,-462562108.6666667,,narrow_11_mnist_6_vs_8_k400_m11
narrow_11,mnist_6_vs_8,400,12,0.9912008047103882,-479870288.6666667,,narrow_11_mnist_6_vs_8_k400_m12
narrow_11,mnist_6_vs_8,400,13,0.9870600700378418,-469445693.0,,narrow_11_mnist_6_vs_8_k400_m13
narrow_11,mnist_6_vs_8,400,14,0.9886128306388855,-461170411.0,,narrow_11_mnist_6_vs_8_k400_m14
narrow_11,mnist_6_vs_8,400,15,0.9896480441093445,-490491853.3333333,,narrow_11_mnist_6_vs_8_k400_m15
narrow_11,mnist_6_vs_8,400,16,0.9912008047103882,-466843026.3333333,,narrow_11_mnist_6_vs_8_k400_m16
narrow_11,mnist_6_vs_8,400,17,0.9875776171684265,-470942672.3333333,,narrow_11_mnist_6_vs_8_k400_m17
narrow_11,mnist_6_vs_8,400,18,0.989130437374115,-477147429.3333333,,narrow_11_mnist_6_vs_8_k400_m18
narrow_11,mnist_6_vs_8,400,19,0.990165650844574,-462886506.1666667,,narrow_11_mnist_6_vs_8_k400_m19
narrow_11,mnist_6_vs_8,400,20,0.989130437374115,-463891360.1666667,,narrow_11_mnist_6_vs_8_k400_m20
narrow_11,mnist_6_vs_8,400,21,0.9855072498321533,-471860147.1666667,,narrow_11_mnist_6_vs_8_k400_m21
narrow_11,mnist_6_vs_8,400,22,0.990165650844574,-483020010.1666667,,narrow_11_mnist_6_vs_8_k400_m22
